start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
2018-04-28 00:12,6364,2018-04-28 00:32,6124,1193,0
2018-04-28 00:13,6169,2018-04-28 00:28,6108,924,1
2018-04-28 00:13,6214,2018-04-28 00:17,6307,290,1
2018-04-28 00:13,6143,2018-04-28 00:18,6187,314,1
2018-04-28 00:13,6132,2018-04-28 00:18,6105,322,1
2018-04-28 00:13,6091,2018-04-28 00:40,7031,1578,1
2018-04-28 00:13,7074,2018-04-28 00:17,6113,235,1
2018-04-28 00:14,6143,2018-04-28 00:18,6187,254,1
2018-04-28 00:14,6152,2018-04-28 00:18,6265,246,1
2018-04-28 00:14,6368,2018-04-28 00:29,6196,884,0
2018-04-28 00:14,6910,2018-04-28 00:17,6904,164,1
2018-04-28 00:14,6374,2018-04-28 00:22,6388,468,1
2018-04-28 00:14,6123,2018-04-28 00:33,6926,1121,1
2018-04-28 00:14,6915,2018-04-28 00:21,6235,420,0
2018-04-28 00:14,6065,2018-04-28 00:25,6100,617,1
2018-04-28 00:14,6140,2018-04-28 00:25,6167,661,1
2018-04-28 00:14,6193,2018-04-28 00:30,6173,949,1
2018-04-28 00:15,6193,2018-04-28 00:30,6173,939,1
2018-04-28 00:15,6173,2018-04-28 00:25,6141,606,1
2018-04-28 00:15,6344,2018-04-28 00:51,6024,2202,1
2018-04-28 00:15,6321,2018-04-28 00:27,6923,700,1
2018-04-28 00:15,6229,2018-04-28 00:28,6229,763,1
2018-04-28 00:15,6038,2018-04-28 00:19,6748,240,1
2018-04-28 00:15,6114,2018-04-28 00:35,7068,1215,1
2018-04-28 00:16,6368,2018-04-28 00:26,6387,604,0
2018-04-28 00:16,6328,2018-04-28 00:26,6189,601,1
2018-04-28 00:16,6328,2018-04-28 00:26,6189,589,1
2018-04-28 00:16,6417,2018-04-28 00:49,6181,1954,0
2018-04-28 00:16,6413,2018-04-28 00:23,6021,379,1
2018-04-28 00:17,6188,2018-04-28 00:19,6178,158,1
2018-04-28 00:17,6311,2018-04-28 00:30,6265,783,1
2018-04-28 00:17,6707,2018-04-28 00:23,6744,345,1
2018-04-28 00:18,6153,2018-04-28 00:22,6137,286,1
2018-04-28 00:18,6136,2018-04-28 00:21,6200,226,1
2018-04-28 00:18,6199,2018-04-28 00:20,6231,144,1
2018-04-28 00:18,7083,2018-04-28 00:31,6750,811,1
2018-04-28 00:18,6199,2018-04-28 00:20,6231,144,1
2018-04-28 00:19,6248,2018-04-28 00:28,6193,562,1
2018-04-28 00:19,6212,2018-04-28 00:30,6233,676,0
2018-04-28 00:19,6183,2018-04-28 00:28,6161,540,1
2018-04-28 00:19,6129,2018-04-28 00:23,6123,253,1
2018-04-28 00:19,6227,2018-04-28 00:31,6371,730,0
2018-04-28 00:19,6268,2018-04-28 00:31,6247,703,0
2018-04-28 00:19,6156,2018-04-28 00:32,6118,759,1
2018-04-28 00:19,6129,2018-04-28 00:23,6123,240,1
2018-04-28 00:19,6183,2018-04-28 00:29,7027,568,1
2018-04-28 00:20,6132,2018-04-28 00:25,6116,309,1
2018-04-28 00:20,6132,2018-04-28 00:28,6106,526,1
2018-04-28 00:20,6020,2018-04-28 00:36,6221,1002,1
2018-04-28 00:20,6268,2018-04-28 00:31,6247,646,1
2018-04-28 00:20,6156,2018-04-28 00:32,6118,710,1
2018-04-28 00:20,6178,2018-04-28 00:30,6134,615,1
2018-04-28 00:20,6158,2018-04-28 00:23,6156,175,1
2018-04-28 00:20,6169,2018-04-28 00:33,7037,765,0
2018-04-28 00:20,7037,2018-04-28 00:23,7037,207,1
2018-04-28 00:20,6070,2018-04-28 01:11,7057,3051,1
2018-04-28 00:20,6368,2018-04-28 00:32,6167,726,1
2018-04-28 00:20,6036,2018-04-28 00:32,6741,715,1
2018-04-28 00:20,6020,2018-04-28 00:36,6221,972,1
2018-04-28 00:20,6158,2018-04-28 00:22,6169,118,1
2018-04-28 00:20,6059,2018-04-28 00:34,6038,797,1
2018-04-28 00:21,6169,2018-04-28 00:33,7037,723,0
2018-04-28 00:21,6152,2018-04-28 00:28,6187,427,1
2018-04-28 00:21,6059,2018-04-28 00:33,6038,739,1
2018-04-28 00:21,6008,2018-04-28 00:35,6092,845,1
2018-04-28 00:21,6178,2018-04-28 00:38,6020,975,1
